PC: 0, ACC: 0, OPCODE: acc, DATA: 6
PC: 552, ACC: 241, OPCODE: acc, DATA: 50
PC: 553, ACC: 291, OPCODE: jmp, DATA: -223
PC: 330, ACC: 291, OPCODE: acc, DATA: 21
PC: 331, ACC: 312, OPCODE: acc, DATA: 45
PC: 332, ACC: 357, OPCODE: acc, DATA: 24
PC: 333, ACC: 381, OPCODE: jmp, DATA: -65
PC: 268, ACC: 381, OPCODE: acc, DATA: 37
PC: 269, ACC: 418, OPCODE: acc, DATA: -13
PC: 270, ACC: 405, OPCODE: jmp, DATA: 340
PC: 610, ACC: 405, OPCODE: acc, DATA: -17
PC: 611, ACC: 388, OPCODE: acc, DATA: 11
PC: 612, ACC: 399, OPCODE: acc, DATA: 10
PC: 613, ACC: 409, OPCODE: acc, DATA: 7
PC: 614, ACC: 416, OPCODE: jmp, DATA: -11
PC: 603, ACC: 416, OPCODE: acc, DATA: 39
PC: 604, ACC: 455, OPCODE: acc, DATA: 27
PC: 605, ACC: 482, OPCODE: acc, DATA: 50
PC: 606, ACC: 532, OPCODE: nop, DATA: -360
PC: 607, ACC: 532, OPCODE: jmp, DATA: -498
PC: 109, ACC: 532, OPCODE: jmp, DATA: 1
PC: 110, ACC: 532, OPCODE: jmp, DATA: 460
PC: 570, ACC: 532, OPCODE: jmp, DATA: -555
PC: 15, ACC: 532, OPCODE: acc, DATA: 20
PC: 16, ACC: 552, OPCODE: acc, DATA: 25
PC: 17, ACC: 577, OPCODE: acc, DATA: 3
PC: 18, ACC: 580, OPCODE: acc, DATA: 10
PC: 19, ACC: 590, OPCODE: jmp, DATA: 571
PC: 590, ACC: 590, OPCODE: acc, DATA: 25
PC: 591, ACC: 615, OPCODE: acc, DATA: -8
PC: 592, ACC: 607, OPCODE: jmp, DATA: -200
PC: 392, ACC: 607, OPCODE: acc, DATA: -7
PC: 393, ACC: 600, OPCODE: acc, DATA: -10
PC: 394, ACC: 590, OPCODE: acc, DATA: -16
PC: 395, ACC: 574, OPCODE: jmp, DATA: -146
PC: 249, ACC: 574, OPCODE: nop, DATA: -202
PC: 250, ACC: 574, OPCODE: nop, DATA: -177
PC: 251, ACC: 574, OPCODE: acc, DATA: -17
PC: 252, ACC: 557, OPCODE: acc, DATA: 30
PC: 253, ACC: 587, OPCODE: jmp, DATA: -128
PC: 125, ACC: 587, OPCODE: acc, DATA: 22
PC: 126, ACC: 609, OPCODE: acc, DATA: -4
PC: 127, ACC: 605, OPCODE: jmp, DATA: 417
PC: 544, ACC: 605, OPCODE: nop, DATA: 1
PC: 545, ACC: 605, OPCODE: acc, DATA: -18
PC: 546, ACC: 587, OPCODE: jmp, DATA: 74
PC: 620, ACC: 587, OPCODE: acc, DATA: -4
PC: 621, ACC: 583, OPCODE: acc, DATA: 19
PC: 622, ACC: 602, OPCODE: nop, DATA: -329
PC: 623, ACC: 602, OPCODE: jmp, DATA: -582
PC: 41, ACC: 602, OPCODE: acc, DATA: 32
PC: 42, ACC: 634, OPCODE: acc, DATA: -3
PC: 43, ACC: 631, OPCODE: acc, DATA: 13
PC: 44, ACC: 644, OPCODE: acc, DATA: 9
PC: 45, ACC: 653, OPCODE: jmp, DATA: 175
PC: 220, ACC: 653, OPCODE: nop, DATA: 362
PC: 221, ACC: 653, OPCODE: acc, DATA: 28
PC: 222, ACC: 681, OPCODE: jmp, DATA: 352
PC: 574, ACC: 681, OPCODE: acc, DATA: 45
PC: 575, ACC: 726, OPCODE: acc, DATA: 44
PC: 576, ACC: 770, OPCODE: nop, DATA: -121
PC: 577, ACC: 770, OPCODE: jmp, DATA: -322
PC: 255, ACC: 770, OPCODE: nop, DATA: 84
PC: 256, ACC: 770, OPCODE: acc, DATA: 21
PC: 257, ACC: 791, OPCODE: acc, DATA: 3
PC: 258, ACC: 794, OPCODE: jmp, DATA: -18
PC: 240, ACC: 794, OPCODE: acc, DATA: 13
PC: 241, ACC: 807, OPCODE: acc, DATA: -11
PC: 242, ACC: 796, OPCODE: acc, DATA: 3
PC: 243, ACC: 799, OPCODE: jmp, DATA: 96
PC: 339, ACC: 799, OPCODE: acc, DATA: 49
PC: 340, ACC: 848, OPCODE: nop, DATA: -105
PC: 341, ACC: 848, OPCODE: acc, DATA: 17
PC: 342, ACC: 865, OPCODE: jmp, DATA: 180
PC: 522, ACC: 865, OPCODE: acc, DATA: 29
PC: 523, ACC: 894, OPCODE: jmp, DATA: -153
PC: 370, ACC: 894, OPCODE: acc, DATA: 39
PC: 371, ACC: 933, OPCODE: acc, DATA: -14
PC: 372, ACC: 919, OPCODE: jmp, DATA: 39
PC: 411, ACC: 919, OPCODE: jmp, DATA: 1
PC: 412, ACC: 919, OPCODE: jmp, DATA: 8
PC: 420, ACC: 919, OPCODE: acc, DATA: -3
PC: 421, ACC: 916, OPCODE: acc, DATA: 24
PC: 422, ACC: 940, OPCODE: acc, DATA: 5
PC: 423, ACC: 945, OPCODE: nop, DATA: 159
PC: 424, ACC: 945, OPCODE: jmp, DATA: -322
PC: 102, ACC: 945, OPCODE: jmp, DATA: 1
PC: 103, ACC: 945, OPCODE: acc, DATA: 2
PC: 104, ACC: 947, OPCODE: acc, DATA: 38
PC: 105, ACC: 985, OPCODE: jmp, DATA: 40
PC: 145, ACC: 985, OPCODE: jmp, DATA: 2
PC: 147, ACC: 985, OPCODE: acc, DATA: -8
PC: 148, ACC: 977, OPCODE: acc, DATA: 47
PC: 149, ACC: 1024, OPCODE: acc, DATA: -9
PC: 150, ACC: 1015, OPCODE: acc, DATA: 11
PC: 151, ACC: 1026, OPCODE: jmp, DATA: -35
PC: 116, ACC: 1026, OPCODE: nop, DATA: 172
PC: 117, ACC: 1026, OPCODE: acc, DATA: 6
PC: 118, ACC: 1032, OPCODE: nop, DATA: 299
PC: 119, ACC: 1032, OPCODE: jmp, DATA: 298
PC: 417, ACC: 1032, OPCODE: acc, DATA: 46
PC: 418, ACC: 1078, OPCODE: jmp, DATA: -322
PC: 96, ACC: 1078, OPCODE: acc, DATA: -12
PC: 97, ACC: 1066, OPCODE: jmp, DATA: 248
PC: 345, ACC: 1066, OPCODE: acc, DATA: 1
PC: 346, ACC: 1067, OPCODE: nop, DATA: -285
PC: 347, ACC: 1067, OPCODE: acc, DATA: 26
PC: 348, ACC: 1093, OPCODE: acc, DATA: -15
PC: 349, ACC: 1078, OPCODE: jmp, DATA: 216
PC: 565, ACC: 1078, OPCODE: nop, DATA: -98
PC: 566, ACC: 1078, OPCODE: acc, DATA: 47
PC: 567, ACC: 1125, OPCODE: acc, DATA: 21
PC: 568, ACC: 1146, OPCODE: jmp, DATA: -322
PC: 246, ACC: 1146, OPCODE: acc, DATA: 30
PC: 247, ACC: 1176, OPCODE: jmp, DATA: 251
PC: 498, ACC: 1176, OPCODE: acc, DATA: 42
PC: 499, ACC: 1218, OPCODE: acc, DATA: 27
PC: 500, ACC: 1245, OPCODE: jmp, DATA: -112
PC: 388, ACC: 1245, OPCODE: acc, DATA: -16
PC: 389, ACC: 1229, OPCODE: nop, DATA: -6
PC: 390, ACC: 1229, OPCODE: jmp, DATA: -223
PC: 167, ACC: 1229, OPCODE: acc, DATA: -8
PC: 168, ACC: 1221, OPCODE: acc, DATA: -14
PC: 169, ACC: 1207, OPCODE: jmp, DATA: 1
PC: 170, ACC: 1207, OPCODE: jmp, DATA: 123
PC: 293, ACC: 1207, OPCODE: acc, DATA: 32
PC: 294, ACC: 1239, OPCODE: jmp, DATA: -214
PC: 80, ACC: 1239, OPCODE: acc, DATA: 20
PC: 81, ACC: 1259, OPCODE: acc, DATA: 15
PC: 82, ACC: 1274, OPCODE: acc, DATA: 0
PC: 83, ACC: 1274, OPCODE: acc, DATA: 26
PC: 84, ACC: 1300, OPCODE: jmp, DATA: 197
PC: 281, ACC: 1300, OPCODE: jmp, DATA: 124
PC: 405, ACC: 1300, OPCODE: jmp, DATA: -90
PC: 315, ACC: 1300, OPCODE: jmp, DATA: -248
PC: 67, ACC: 1300, OPCODE: jmp, DATA: 410
PC: 477, ACC: 1300, OPCODE: nop, DATA: 10
PC: 478, ACC: 1300, OPCODE: acc, DATA: 26
PC: 479, ACC: 1326, OPCODE: jmp, DATA: 39
PC: 518, ACC: 1326, OPCODE: acc, DATA: 30
PC: 519, ACC: 1356, OPCODE: jmp, DATA: -196
PC: 323, ACC: 1356, OPCODE: acc, DATA: 4
PC: 324, ACC: 1360, OPCODE: jmp, DATA: -251
PC: 73, ACC: 1360, OPCODE: acc, DATA: -12
PC: 74, ACC: 1348, OPCODE: jmp, DATA: 200
PC: 274, ACC: 1348, OPCODE: jmp, DATA: -58
PC: 216, ACC: 1348, OPCODE: acc, DATA: 14
PC: 217, ACC: 1362, OPCODE: jmp, DATA: -57
PC: 160, ACC: 1362, OPCODE: acc, DATA: 40
PC: 161, ACC: 1402, OPCODE: acc, DATA: -3
PC: 162, ACC: 1399, OPCODE: acc, DATA: -18
PC: 163, ACC: 1381, OPCODE: nop, DATA: 359
PC: 164, ACC: 1381, OPCODE: jmp, DATA: 9
PC: 173, ACC: 1381, OPCODE: jmp, DATA: 13
PC: 186, ACC: 1381, OPCODE: jmp, DATA: -125
PC: 61, ACC: 1381, OPCODE: nop, DATA: 568
PC: 62, ACC: 1381, OPCODE: acc, DATA: -14
PC: 63, ACC: 1367, OPCODE: nop, DATA: 481
PC: 64, ACC: 1367, OPCODE: acc, DATA: 47
PC: 65, ACC: 1414, OPCODE: jmp, DATA: 163
PC: 228, ACC: 1414, OPCODE: acc, DATA: 39
PC: 229, ACC: 1453, OPCODE: jmp, DATA: 296
PC: 525, ACC: 1453, OPCODE: jmp, DATA: -344
PC: 181, ACC: 1453, OPCODE: acc, DATA: 24
PC: 182, ACC: 1477, OPCODE: acc, DATA: 8
PC: 183, ACC: 1485, OPCODE: jmp, DATA: 1
PC: 184, ACC: 1485, OPCODE: jmp, DATA: 79
PC: 263, ACC: 1485, OPCODE: acc, DATA: 30
PC: 264, ACC: 1515, OPCODE: jmp, DATA: 88
PC: 352, ACC: 1515, OPCODE: jmp, DATA: -261
PC: 91, ACC: 1515, OPCODE: acc, DATA: 14
PC: 0, ACC: 0, OPCODE: acc, DATA: 6
PC: 1, ACC: 6, OPCODE: acc, DATA: 21
PC: 2, ACC: 27, OPCODE: nop, DATA: 297
PC: 3, ACC: 27, OPCODE: nop, DATA: 2
PC: 4, ACC: 27, OPCODE: jmp, DATA: 156
PC: 160, ACC: 27, OPCODE: acc, DATA: 40
PC: 161, ACC: 67, OPCODE: acc, DATA: -3
PC: 162, ACC: 64, OPCODE: acc, DATA: -18
PC: 163, ACC: 46, OPCODE: nop, DATA: 359
PC: 164, ACC: 46, OPCODE: jmp, DATA: 9
PC: 173, ACC: 46, OPCODE: jmp, DATA: 13
PC: 186, ACC: 46, OPCODE: jmp, DATA: -125
PC: 61, ACC: 46, OPCODE: nop, DATA: 568
PC: 62, ACC: 46, OPCODE: acc, DATA: -14
PC: 63, ACC: 32, OPCODE: nop, DATA: 481
PC: 64, ACC: 32, OPCODE: acc, DATA: 47
PC: 65, ACC: 79, OPCODE: jmp, DATA: 163
PC: 228, ACC: 79, OPCODE: acc, DATA: 39
PC: 229, ACC: 118, OPCODE: jmp, DATA: 296
PC: 525, ACC: 118, OPCODE: jmp, DATA: -344
PC: 181, ACC: 118, OPCODE: acc, DATA: 24
PC: 182, ACC: 142, OPCODE: acc, DATA: 8
PC: 183, ACC: 150, OPCODE: jmp, DATA: 1
PC: 184, ACC: 150, OPCODE: jmp, DATA: 79
PC: 263, ACC: 150, OPCODE: acc, DATA: 30
PC: 264, ACC: 180, OPCODE: jmp, DATA: 88
PC: 352, ACC: 180, OPCODE: jmp, DATA: -261
PC: 91, ACC: 180, OPCODE: acc, DATA: 14
PC: 92, ACC: 194, OPCODE: jmp, DATA: 1
PC: 93, ACC: 194, OPCODE: jmp, DATA: 263
PC: 356, ACC: 194, OPCODE: jmp, DATA: 1
PC: 357, ACC: 194, OPCODE: acc, DATA: -5
PC: 358, ACC: 189, OPCODE: jmp, DATA: -304
PC: 54, ACC: 189, OPCODE: nop, DATA: 181
PC: 55, ACC: 189, OPCODE: jmp, DATA: 419
PC: 474, ACC: 189, OPCODE: acc, DATA: -3
PC: 475, ACC: 186, OPCODE: jmp, DATA: -273
PC: 202, ACC: 186, OPCODE: nop, DATA: 228
PC: 203, ACC: 186, OPCODE: acc, DATA: 4
PC: 204, ACC: 190, OPCODE: acc, DATA: 24
PC: 205, ACC: 214, OPCODE: jmp, DATA: -12
PC: 193, ACC: 214, OPCODE: nop, DATA: -18
PC: 194, ACC: 214, OPCODE: acc, DATA: -14
PC: 195, ACC: 200, OPCODE: acc, DATA: 19
PC: 196, ACC: 219, OPCODE: nop, DATA: 291
PC: 197, ACC: 219, OPCODE: jmp, DATA: 361
PC: 558, ACC: 219, OPCODE: acc, DATA: 29
PC: 559, ACC: 248, OPCODE: jmp, DATA: -8
PC: 551, ACC: 248, OPCODE: acc, DATA: -13
PC: 552, ACC: 235, OPCODE: acc, DATA: 50
PC: 553, ACC: 285, OPCODE: jmp, DATA: -223
PC: 330, ACC: 285, OPCODE: acc, DATA: 21
PC: 331, ACC: 306, OPCODE: acc, DATA: 45
PC: 332, ACC: 351, OPCODE: acc, DATA: 24
PC: 333, ACC: 375, OPCODE: jmp, DATA: -65
PC: 268, ACC: 375, OPCODE: acc, DATA: 37
PC: 269, ACC: 412, OPCODE: acc, DATA: -13
PC: 270, ACC: 399, OPCODE: jmp, DATA: 340
PC: 610, ACC: 399, OPCODE: acc, DATA: -17
PC: 611, ACC: 382, OPCODE: acc, DATA: 11
PC: 612, ACC: 393, OPCODE: acc, DATA: 10
PC: 613, ACC: 403, OPCODE: acc, DATA: 7
PC: 614, ACC: 410, OPCODE: jmp, DATA: -11
PC: 603, ACC: 410, OPCODE: acc, DATA: 39
PC: 604, ACC: 449, OPCODE: acc, DATA: 27
PC: 605, ACC: 476, OPCODE: acc, DATA: 50
PC: 606, ACC: 526, OPCODE: nop, DATA: -360
PC: 607, ACC: 526, OPCODE: jmp, DATA: -498
PC: 109, ACC: 526, OPCODE: jmp, DATA: 1
PC: 110, ACC: 526, OPCODE: jmp, DATA: 460
PC: 570, ACC: 526, OPCODE: jmp, DATA: -555
PC: 15, ACC: 526, OPCODE: acc, DATA: 20
PC: 16, ACC: 546, OPCODE: acc, DATA: 25
PC: 17, ACC: 571, OPCODE: acc, DATA: 3
PC: 18, ACC: 574, OPCODE: acc, DATA: 10
PC: 19, ACC: 584, OPCODE: jmp, DATA: 571
PC: 590, ACC: 584, OPCODE: acc, DATA: 25
PC: 591, ACC: 609, OPCODE: acc, DATA: -8
PC: 592, ACC: 601, OPCODE: jmp, DATA: -200
PC: 392, ACC: 601, OPCODE: acc, DATA: -7
PC: 393, ACC: 594, OPCODE: acc, DATA: -10
PC: 394, ACC: 584, OPCODE: acc, DATA: -16
PC: 395, ACC: 568, OPCODE: jmp, DATA: -146
PC: 249, ACC: 568, OPCODE: nop, DATA: -202
PC: 250, ACC: 568, OPCODE: nop, DATA: -177
PC: 251, ACC: 568, OPCODE: acc, DATA: -17
PC: 252, ACC: 551, OPCODE: acc, DATA: 30
PC: 253, ACC: 581, OPCODE: jmp, DATA: -128
PC: 125, ACC: 581, OPCODE: acc, DATA: 22
PC: 126, ACC: 603, OPCODE: acc, DATA: -4
PC: 127, ACC: 599, OPCODE: jmp, DATA: 417
PC: 544, ACC: 599, OPCODE: nop, DATA: 1
PC: 545, ACC: 599, OPCODE: acc, DATA: -18
PC: 546, ACC: 581, OPCODE: jmp, DATA: 74
PC: 620, ACC: 581, OPCODE: acc, DATA: -4
PC: 621, ACC: 577, OPCODE: acc, DATA: 19
PC: 622, ACC: 596, OPCODE: nop, DATA: -329
PC: 623, ACC: 596, OPCODE: jmp, DATA: -582
PC: 41, ACC: 596, OPCODE: acc, DATA: 32
PC: 42, ACC: 628, OPCODE: acc, DATA: -3
PC: 43, ACC: 625, OPCODE: acc, DATA: 13
PC: 44, ACC: 638, OPCODE: acc, DATA: 9
PC: 45, ACC: 647, OPCODE: jmp, DATA: 175
PC: 220, ACC: 647, OPCODE: nop, DATA: 362
PC: 221, ACC: 647, OPCODE: acc, DATA: 28
PC: 222, ACC: 675, OPCODE: jmp, DATA: 352
PC: 574, ACC: 675, OPCODE: acc, DATA: 45
PC: 575, ACC: 720, OPCODE: acc, DATA: 44
PC: 576, ACC: 764, OPCODE: nop, DATA: -121
PC: 577, ACC: 764, OPCODE: jmp, DATA: -322
PC: 255, ACC: 764, OPCODE: nop, DATA: 84
PC: 256, ACC: 764, OPCODE: acc, DATA: 21
PC: 257, ACC: 785, OPCODE: acc, DATA: 3
PC: 258, ACC: 788, OPCODE: jmp, DATA: -18
PC: 240, ACC: 788, OPCODE: acc, DATA: 13
PC: 241, ACC: 801, OPCODE: acc, DATA: -11
PC: 242, ACC: 790, OPCODE: acc, DATA: 3
PC: 243, ACC: 793, OPCODE: jmp, DATA: 96
PC: 339, ACC: 793, OPCODE: acc, DATA: 49
PC: 340, ACC: 842, OPCODE: nop, DATA: -105
PC: 341, ACC: 842, OPCODE: acc, DATA: 17
PC: 342, ACC: 859, OPCODE: jmp, DATA: 180
PC: 522, ACC: 859, OPCODE: acc, DATA: 29
PC: 523, ACC: 888, OPCODE: jmp, DATA: -153
PC: 370, ACC: 888, OPCODE: acc, DATA: 39
PC: 371, ACC: 927, OPCODE: acc, DATA: -14
PC: 372, ACC: 913, OPCODE: jmp, DATA: 39
PC: 411, ACC: 913, OPCODE: jmp, DATA: 1
PC: 412, ACC: 913, OPCODE: jmp, DATA: 8
PC: 420, ACC: 913, OPCODE: acc, DATA: -3
PC: 421, ACC: 910, OPCODE: acc, DATA: 24
PC: 422, ACC: 934, OPCODE: acc, DATA: 5
PC: 423, ACC: 939, OPCODE: nop, DATA: 159
PC: 424, ACC: 939, OPCODE: jmp, DATA: -322
PC: 102, ACC: 939, OPCODE: jmp, DATA: 1
PC: 103, ACC: 939, OPCODE: acc, DATA: 2
PC: 104, ACC: 941, OPCODE: acc, DATA: 38
PC: 105, ACC: 979, OPCODE: jmp, DATA: 40
PC: 145, ACC: 979, OPCODE: jmp, DATA: 2
PC: 147, ACC: 979, OPCODE: acc, DATA: -8
PC: 148, ACC: 971, OPCODE: acc, DATA: 47
PC: 149, ACC: 1018, OPCODE: acc, DATA: -9
PC: 150, ACC: 1009, OPCODE: acc, DATA: 11
PC: 151, ACC: 1020, OPCODE: jmp, DATA: -35
PC: 116, ACC: 1020, OPCODE: nop, DATA: 172
PC: 117, ACC: 1020, OPCODE: acc, DATA: 6
PC: 118, ACC: 1026, OPCODE: nop, DATA: 299
PC: 119, ACC: 1026, OPCODE: jmp, DATA: 298
PC: 417, ACC: 1026, OPCODE: acc, DATA: 46
PC: 418, ACC: 1072, OPCODE: jmp, DATA: -322
PC: 96, ACC: 1072, OPCODE: acc, DATA: -12
PC: 97, ACC: 1060, OPCODE: jmp, DATA: 248
PC: 345, ACC: 1060, OPCODE: acc, DATA: 1
PC: 346, ACC: 1061, OPCODE: nop, DATA: -285
PC: 347, ACC: 1061, OPCODE: acc, DATA: 26
PC: 348, ACC: 1087, OPCODE: acc, DATA: -15
PC: 349, ACC: 1072, OPCODE: jmp, DATA: 216
PC: 565, ACC: 1072, OPCODE: nop, DATA: -98
PC: 566, ACC: 1072, OPCODE: acc, DATA: 47
PC: 567, ACC: 1119, OPCODE: acc, DATA: 21
PC: 568, ACC: 1140, OPCODE: jmp, DATA: -322
PC: 246, ACC: 1140, OPCODE: acc, DATA: 30
PC: 247, ACC: 1170, OPCODE: jmp, DATA: 251
PC: 498, ACC: 1170, OPCODE: acc, DATA: 42
PC: 499, ACC: 1212, OPCODE: acc, DATA: 27
PC: 500, ACC: 1239, OPCODE: jmp, DATA: -112
PC: 388, ACC: 1239, OPCODE: acc, DATA: -16
PC: 389, ACC: 1223, OPCODE: nop, DATA: -6
PC: 390, ACC: 1223, OPCODE: jmp, DATA: -223
PC: 167, ACC: 1223, OPCODE: acc, DATA: -8
PC: 168, ACC: 1215, OPCODE: acc, DATA: -14
PC: 169, ACC: 1201, OPCODE: jmp, DATA: 1
PC: 170, ACC: 1201, OPCODE: jmp, DATA: 123
PC: 293, ACC: 1201, OPCODE: acc, DATA: 32
PC: 294, ACC: 1233, OPCODE: jmp, DATA: -214
PC: 80, ACC: 1233, OPCODE: acc, DATA: 20
PC: 81, ACC: 1253, OPCODE: acc, DATA: 15
PC: 82, ACC: 1268, OPCODE: acc, DATA: 0
PC: 83, ACC: 1268, OPCODE: acc, DATA: 26
PC: 84, ACC: 1294, OPCODE: jmp, DATA: 197
PC: 281, ACC: 1294, OPCODE: jmp, DATA: 124
PC: 405, ACC: 1294, OPCODE: jmp, DATA: -90
PC: 315, ACC: 1294, OPCODE: jmp, DATA: -248
PC: 67, ACC: 1294, OPCODE: jmp, DATA: 410
PC: 477, ACC: 1294, OPCODE: nop, DATA: 10
PC: 478, ACC: 1294, OPCODE: acc, DATA: 26
PC: 479, ACC: 1320, OPCODE: jmp, DATA: 39
PC: 518, ACC: 1320, OPCODE: acc, DATA: 30
PC: 519, ACC: 1350, OPCODE: jmp, DATA: -196
PC: 323, ACC: 1350, OPCODE: acc, DATA: 4
PC: 324, ACC: 1354, OPCODE: jmp, DATA: -251
PC: 73, ACC: 1354, OPCODE: acc, DATA: -12
PC: 74, ACC: 1342, OPCODE: jmp, DATA: 200
PC: 274, ACC: 1342, OPCODE: jmp, DATA: -58
PC: 216, ACC: 1342, OPCODE: acc, DATA: 14
PC: 217, ACC: 1356, OPCODE: jmp, DATA: -57
PC: 160, ACC: 1356, OPCODE: acc, DATA: 40
PC: 0, ACC: 0, OPCODE: acc, DATA: 6
PC: 1, ACC: 6, OPCODE: acc, DATA: 21
PC: 2, ACC: 27, OPCODE: nop, DATA: 297
PC: 3, ACC: 27, OPCODE: jmp, DATA: 2
PC: 5, ACC: 27, OPCODE: acc, DATA: -7
PC: 6, ACC: 20, OPCODE: acc, DATA: 6
PC: 7, ACC: 26, OPCODE: acc, DATA: -16
PC: 8, ACC: 10, OPCODE: acc, DATA: 14
PC: 9, ACC: 24, OPCODE: jmp, DATA: 127
PC: 136, ACC: 24, OPCODE: acc, DATA: 30
PC: 137, ACC: 54, OPCODE: acc, DATA: 42
PC: 138, ACC: 96, OPCODE: acc, DATA: 21
PC: 139, ACC: 117, OPCODE: jmp, DATA: 231
PC: 370, ACC: 117, OPCODE: acc, DATA: 39
PC: 371, ACC: 156, OPCODE: acc, DATA: -14
PC: 372, ACC: 142, OPCODE: jmp, DATA: 39
PC: 411, ACC: 142, OPCODE: jmp, DATA: 1
PC: 412, ACC: 142, OPCODE: jmp, DATA: 8
PC: 420, ACC: 142, OPCODE: acc, DATA: -3
PC: 421, ACC: 139, OPCODE: acc, DATA: 24
PC: 422, ACC: 163, OPCODE: acc, DATA: 5
PC: 423, ACC: 168, OPCODE: nop, DATA: 159
PC: 424, ACC: 168, OPCODE: jmp, DATA: -322
PC: 102, ACC: 168, OPCODE: jmp, DATA: 1
PC: 103, ACC: 168, OPCODE: acc, DATA: 2
PC: 104, ACC: 170, OPCODE: acc, DATA: 38
PC: 105, ACC: 208, OPCODE: jmp, DATA: 40
PC: 145, ACC: 208, OPCODE: jmp, DATA: 2
PC: 147, ACC: 208, OPCODE: acc, DATA: -8
PC: 148, ACC: 200, OPCODE: acc, DATA: 47
PC: 149, ACC: 247, OPCODE: acc, DATA: -9
PC: 150, ACC: 238, OPCODE: acc, DATA: 11
PC: 151, ACC: 249, OPCODE: jmp, DATA: -35
PC: 116, ACC: 249, OPCODE: nop, DATA: 172
PC: 117, ACC: 249, OPCODE: acc, DATA: 6
PC: 118, ACC: 255, OPCODE: nop, DATA: 299
PC: 119, ACC: 255, OPCODE: jmp, DATA: 298
PC: 417, ACC: 255, OPCODE: acc, DATA: 46
PC: 418, ACC: 301, OPCODE: jmp, DATA: -322
PC: 96, ACC: 301, OPCODE: acc, DATA: -12
PC: 97, ACC: 289, OPCODE: jmp, DATA: 248
PC: 345, ACC: 289, OPCODE: acc, DATA: 1
PC: 346, ACC: 290, OPCODE: nop, DATA: -285
PC: 347, ACC: 290, OPCODE: acc, DATA: 26
PC: 348, ACC: 316, OPCODE: acc, DATA: -15
PC: 349, ACC: 301, OPCODE: jmp, DATA: 216
PC: 565, ACC: 301, OPCODE: nop, DATA: -98
PC: 566, ACC: 301, OPCODE: acc, DATA: 47
PC: 567, ACC: 348, OPCODE: acc, DATA: 21
PC: 568, ACC: 369, OPCODE: jmp, DATA: -322
PC: 246, ACC: 369, OPCODE: acc, DATA: 30
PC: 247, ACC: 399, OPCODE: jmp, DATA: 251
PC: 498, ACC: 399, OPCODE: acc, DATA: 42
PC: 499, ACC: 441, OPCODE: acc, DATA: 27
PC: 500, ACC: 468, OPCODE: jmp, DATA: -112
PC: 388, ACC: 468, OPCODE: acc, DATA: -16
PC: 389, ACC: 452, OPCODE: nop, DATA: -6
PC: 390, ACC: 452, OPCODE: jmp, DATA: -223
PC: 167, ACC: 452, OPCODE: acc, DATA: -8
PC: 168, ACC: 444, OPCODE: acc, DATA: -14
PC: 169, ACC: 430, OPCODE: jmp, DATA: 1
PC: 170, ACC: 430, OPCODE: jmp, DATA: 123
PC: 293, ACC: 430, OPCODE: acc, DATA: 32
PC: 294, ACC: 462, OPCODE: jmp, DATA: -214
PC: 80, ACC: 462, OPCODE: acc, DATA: 20
